rotten_id	title	year	mpaa_rating	runtime	release_theater	release_dvd	critics_rating	critics_score	audience_rating	audience_score	reviews_num
770818404	Eyes Wide Open (Einaym Pkuhot)	2009	Unrated	91	2010-02-05	2010-11-16	84	Fresh	76	Upright	32
770805263	Percy Jackson & the Olympians: The Lightning Thief	2010	PG	83	2010-02-12	2010-06-29	49	Rotten	54	Spilled	142
770805766	Valentine's Day	2010	PG-13	123	2010-02-12	2010-05-18	18	Rotten	48	Spilled	187
770768653	The Wolfman	2010	R	103	2010-02-12	2010-06-01	34	Rotten	33	Spilled	210
770812767	My Name Is Khan	2010	PG-13	145	2010-02-12	2010-08-10	80	Fresh	82	Upright	5
770816299	Videocracy	2009	Unrated	84	2009-08-28	2010-09-07	68	Fresh	38	Spilled	29
770857856	Celine: Through The Eyes Of The World	2010	Unrated	117	2010-02-17	2010-05-11	33	Rotten	77	Upright	6
770815615	Lourdes	2009	Unrated	99	2010-02-17	2010-07-12	93	Certified Fresh	67	Upright	41
770681152	Shutter Island	2010	R	138	2010-02-19	2010-06-08	69	Fresh	76	Upright	243
770810665	The Ghost Writer	2010	PG-13	68	2010-02-19	2010-08-03	83	Certified Fresh	70	Upright	198
770804183	Happy Tears	2009	R	96	2010-02-19	2010-06-15	28	Rotten	19	Spilled	32
770806368	The Good Guy	2009	R	91	2009-02-19	2010-06-22	33	Rotten	30	Spilled	27
770729028	The Red Baron (Der rote Baron)	2008	PG-13	106	2008-03-31	2010-06-01	20	Rotten	44	Spilled	25
770805261	Cop Out	2010	R	110	2010-02-26	2010-07-20	19	Rotten	40	Spilled	161
15274	The Crazies	1973	R	103	1973-01-01	2003-04-29	53	Rotten	44	Spilled	19
770816212	Defendor	2009	R	95	2009-09-01	2010-04-13	68	Fresh	59	Spilled	19
770682599	The Yellow Handkerchief	2008	PG-13	102	2010-02-26	2010-07-01	67	Fresh	60	Upright	49
770809990	Easier with Practice	2009	Unrated	100	2009-06-12	2010-04-06	90	Fresh	70	Upright	32
9769	Alice in Wonderland	1951	G	75	1951-07-28	2011-02-01	77	Fresh	78	Upright	26
770782168	Brooklyn's Finest	2009	R	133	2010-03-05	2010-07-06	43	Rotten	46	Spilled	146
770783634	Green Zone	2010	R	115	2010-03-12	2010-06-22	53	Rotten	57	Spilled	182
770682073	She's Out of My League	2010	R	104	2010-03-12	2010-06-22	58	Rotten	59	Spilled	131
770816443	Our Family Wedding	2010	PG-13	103	2010-03-12	2010-07-13	13	Rotten	48	Spilled	84
771309696	Stolen	2012	R	96	2012-09-14	2013-01-08	16	Rotten	36	Spilled	19
770802823	Children Of Invention	2008	Unrated	86	2010-03-12	2010-08-10	73	Fresh	60	Upright	15
770856804	The Bounty Hunter	2010	PG-13	110	2010-03-19	2010-07-13	13	Rotten	51	Spilled	160
770808106	Diary of a Wimpy Kid	2010	PG	93	2010-03-19	2010-08-03	53	Rotten	49	Spilled	105
